# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-T" "12" "-Q" "10" "-s" "2" "-t" "exon" "-g" "gene_id" "-a" "/export/III-data/waters/ql9f/Plasmodium_genome/pber/PlasmoDB-53_PbergheiANKA.gff" "-o" "set6.count.tsv" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam
PBANKA_0912100	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	454542;454822;454984;455287;455470;455729;456033;456322	454658;454891;455132;455359;455619;455905;456132;456457	+;+;+;+;+;+;+;+	972	3214	5827	14209	17880	16799	7915	16898	7856	12997	3691	3837	3091	21897	24586	38817	18743	27641	30659	27490	28947	23233	2859	4529	2763
PBANKA_1211700	PbANKA_12_v3	433966	435765	-	1800	204	484	409	534	601	405	471	419	534	279	291	169	391	461	262	665	480	291	316	492	241	208	255	264
PBANKA_0314400	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	504931;505416;505588;505923	505195;505491;505779;506067	-;-;-;-	678	515	1260	1538	1869	2732	1366	2374	1213	1431	843	668	536	3043	2333	2822	3122	3617	3202	1976	2255	1827	462	768	534
PBANKA_0714800	PbANKA_07_v3	553946	555280	+	1335	87	107	122	313	258	110	377	319	391	261	290	156	191	171	225	363	383	186	261	409	153	164	291	164
PBANKA_1009200	PbANKA_10_v3	422856	427697	+	4842	5681	3437	2860	1283	1799	4357	2641	5183	9424	14088	14346	8406	559	1101	869	493	501	292	1796	2911	1798	17307	15103	17560
PBANKA_1337100	PbANKA_13_v3;PbANKA_13_v3	1462285;1464137	1464042;1464511	+;+	2133	2609	1840	4242	3158	3389	4158	2563	2124	5735	3380	3763	2042	3542	4707	3587	3672	3857	3326	2519	3219	2470	3905	3945	2586
PBANKA_0938800	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	1388739;1388934;1389102	1388810;1388970;1391212	-;-;-	2220	3614	2763	6701	5601	5179	3757	3783	3091	6890	3561	3500	2576	4653	9692	6718	6171	7234	5864	3822	6224	3043	3980	4087	4262
PBANKA_0100100	PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3	26371;26676;26992;27221;27435;27860	26459;26910;27061;27330;27668;27916	+;+;+;+;+;+	795	32	26	11	15	39	44	101	211	174	69	52	34	17	33	29	10	14	11	46	56	47	99	77	60
PBANKA_1121100	PbANKA_11_v3	785381	787735	-	2355	74	166	302	405	283	206	332	216	495	406	422	214	272	456	453	375	498	361	272	453	202	260	304	246
PBANKA_0302400	PbANKA_03_v3	76581	79532	-	2952	149	547	740	802	1168	343	489	223	336	74	81	41	831	1086	606	1034	900	731	387	589	385	65	100	116
PBANKA_0216081	PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3	599663;599811;599894;600177;600424;600707	599722;599891;600175;600422;600615;600724	-;-;-;-;-;-	879	0	1	0	0	2	0	1	1	0	1	0	0	0	2	3	0	1	0	4	6	1	1	1	0
PBANKA_1363400	PbANKA_13_v3;PbANKA_13_v3	2408966;2409737	2409611;2409837	+;+	747	136	216	376	477	568	264	328	294	445	75	53	67	347	353	252	303	330	246	211	411	207	50	80	68
PBANKA_1414900	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	599686;599899;600201;600460;600733;600879;601115	599761;600020;600277;600576;600790;601013;601243	+;+;+;+;+;+;+	714	755	1604	2373	1990	2275	1427	2910	3063	3280	1125	1089	774	1125	1772	2157	945	838	945	3120	4003	2790	766	1280	1209
PBANKA_0813600	PbANKA_08_v3;PbANKA_08_v3	594451;596309	596193;597601	+;+	3036	67	97	289	135	146	107	123	226	192	130	129	93	126	262	269	140	128	166	183	416	149	159	201	139
PBANKA_0941500	PbANKA_09_v3;PbANKA_09_v3	1499958;1500237	1499960;1501019	+;+	786	5442	8838	8963	9479	10543	10925	12736	9558	11190	11058	8998	6139	8861	7803	7305	12462	11339	7190	8316	11120	7565	6620	10754	7293
PBANKA_0721300	PbANKA_07_v3	775555	775965	+	411	40	197	191	337	376	86	251	134	162	108	71	110	244	204	73	399	245	119	182	219	260	93	179	157
PBANKA_0408800	PbANKA_04_v3	323904	324233	+	330	705	1157	909	750	1137	1140	1519	1535	1528	966	776	681	651	709	969	855	828	785	874	1238	861	531	777	628
PBANKA_1425700	PbANKA_14_v3	987087	988631	+	1545	12	39	34	29	27	25	22	30	40	25	25	14	13	23	8	6	10	14	32	38	35	26	34	36
PBANKA_1430100	PbANKA_14_v3;PbANKA_14_v3	1160815;1161448	1161283;1162583	-;-	1605	1118	1719	2691	2483	3041	2135	1972	1437	1583	975	749	681	2957	3171	1778	2561	2712	1866	1566	2167	1510	769	861	882
PBANKA_1222800	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	867300;867595;868454	867493;868302;868670	-;-;-	1119	1204	2390	4786	7249	6104	3613	7822	3273	5069	1467	1247	919	7907	10453	15225	8850	12026	11684	7434	10135	6922	1010	1591	1106
PBANKA_1011900	PbANKA_10_v3;PbANKA_10_v3	556097;556394	556153;556504	+;+	168	268	634	737	1219	1413	808	1292	963	899	406	400	326	1262	954	1198	1511	1412	1100	1029	1153	995	249	444	340
PBANKA_1443000	PbANKA_14_v3;PbANKA_14_v3	1640245;1642893	1642769;1643115	+;+	2748	1761	1850	6806	3880	6837	4030	4925	3060	5017	2215	2643	1752	12591	22711	38779	9678	16545	26229	15999	14046	11728	3041	3280	1941
PBANKA_0720900	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	764675;764873;765223;765404;765687;765960;766102;766262;766421	764789;765070;765289;765567;765785;765979;766145;766323;766449	+;+;+;+;+;+;+;+;+	798	93178	138638	49900	17452	59106	132376	82650	178587	71800	75384	50331	62017	15169	15390	21601	12172	12886	12002	61296	71346	67880	66114	111135	88307
PBANKA_API00180	PbANKA_API_v3	19957	20637	+	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_1308700	PbANKA_13_v3	419821	420369	+	549	263	717	476	334	489	741	657	862	659	238	234	185	273	342	486	357	301	238	642	872	517	195	339	314
PBANKA_0903600	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	130352;132739;133033;133220	132627;132833;133079;133246	+;+;+;+	2445	948	1466	1610	1823	1949	1390	1832	2195	2869	2074	2025	1232	1546	1664	1291	1497	1621	999	1433	1840	1454	1669	2203	1482
PBANKA_1221600	PbANKA_12_v3	827462	830830	-	3369	1929	1369	3643	4978	3443	1911	2792	1766	4400	2218	2078	1402	4481	5780	4034	6281	6436	4633	3001	3411	1989	2837	2268	2750
PBANKA_0616800	PbANKA_06_v3	715236	717953	+	2718	210	373	441	530	513	240	379	326	597	306	360	211	553	1140	983	1089	1371	1121	419	570	379	235	228	331
PBANKA_1352200	PbANKA_13_v3	1985909	1988038	+	2130	64	147	553	356	695	117	339	141	238	75	72	64	497	880	538	471	598	645	380	613	341	77	75	65
PBANKA_1023300	PbANKA_10_v3	933336	935090	+	1755	137	181	261	453	330	169	231	195	451	309	349	202	358	648	321	565	452	284	258	376	208	244	262	318
PBANKA_1309400	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	440067;440579;440915;441095	440355;440787;440983;442156	+;+;+;+	1629	1033	1640	2572	2502	3085	1613	2830	2594	2352	1358	1186	777	2722	3002	2951	2125	2492	1999	2455	3769	1847	1018	1269	1023
PBANKA_0620700	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	827241;827717;827870;828028	827577;827771;827932;828643	+;+;+;+	1071	1500	2658	3160	2630	4079	3451	3934	2480	2564	1603	1187	1194	3387	2850	3234	4425	4234	3843	3390	3838	3128	1206	2000	1423
PBANKA_1209400	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	357627;357998;358263;358560	357836;358072;358336;358632	-;-;-;-	432	4838	13372	6459	4765	5290	18858	20118	40410	17350	12616	10467	6586	3096	7060	26813	2953	4794	7635	28069	29073	24609	8190	12131	10056
PBANKA_1311100	PbANKA_13_v3;PbANKA_13_v3	498511;498971	498696;499123	+;+	339	407	1251	1017	1884	2442	1506	1557	988	844	306	287	230	1673	1160	860	1998	2125	1483	805	826	1104	209	400	167
PBANKA_0802000	PbANKA_08_v3	113003	119143	+	6141	193	127	265	778	343	91	163	98	635	310	405	200	779	1093	309	751	698	279	97	193	100	211	262	139
PBANKA_1417100	PbANKA_14_v3	680186	681910	+	1725	320	343	431	160	213	290	358	373	478	583	594	421	179	286	377	126	144	158	478	549	301	662	645	551
PBANKA_0112721	PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3	513815;513870;514036;514076;514179;514354;514625;514792;514845;514910;515175	513868;513890;514074;514176;514263;514457;514694;514842;514908;515032;515305	-;-;-;-;-;-;-;-;-;-;-	843	10	13	12	4	20	18	60	23	51	12	11	7	15	12	33	14	8	11	91	93	58	23	29	15
PBANKA_0915700	PbANKA_09_v3	594650	595654	-	1005	632	839	2630	3955	4853	1305	2078	771	1380	652	567	474	3667	3270	1553	2891	2645	1864	1423	1660	1744	418	790	496
PBANKA_1028100	PbANKA_10_v3	1144564	1145949	-	1386	204	247	618	689	738	296	372	215	347	210	227	171	480	706	648	704	695	669	334	453	199	193	245	218
PBANKA_1239800	PbANKA_12_v3	1524900	1526843	+	1944	1019	1263	2559	2079	1967	1772	3233	1832	2933	1462	1208	787	1929	2330	2092	1204	1601	1362	2163	2649	2429	1143	1654	1158
PBANKA_1333300	PbANKA_13_v3;PbANKA_13_v3	1342680;1349125	1348888;1349371	+;+	6456	251	285	221	188	201	313	276	256	718	491	442	260	145	167	142	165	121	90	199	264	171	490	463	399
